SYMBOL	TWAS.Z	TWAS.P	truth_label
GENE01	5.20	1.99e-07	risk_seed
GENE02	3.80	1.45e-04	risk_seed
GENE03	1.10	2.71e-01	background
GENE04	0.70	4.84e-01	background
GENE05	0.20	8.41e-01	network_target
GENE06	-0.40	6.89e-01	background
GENE07	-1.20	2.30e-01	background
GENE08	-3.60	3.18e-04	protective_seed
GENE09	-4.90	9.58e-07	protective_seed
GENE10	4.40	1.08e-05	risk_seed
GENE11	2.90	3.73e-03	risk_seed
GENE12	0.30	7.64e-01	network_target
GENE13	-0.20	8.41e-01	background
GENE14	-0.80	4.24e-01	background
GENE15	-1.00	3.17e-01	background
GENE16	-3.20	1.37e-03	protective_seed
GENE17	-4.20	2.67e-05	protective_seed
GENE18	0.10	9.20e-01	network_target
